Company,Date First
KTB,15/03/2016
KTC,22/06/2018
KTL,14/01/2015
KTU,21/02/2018
L12,3/1/2017
L44,21/12/2009
L45,20/10/2016
L63,6/10/2016
LAI,10/8/2015
LAW,21/12/2015
LBC,16/08/2017
LCC,11/5/2010
LCW,30/11/2016
LDW,16/03/2018
LG9,18/12/2017
LGM,18/12/2019
LIC,5/6/2017
LKW,25/04/2013
LLM,16/08/2017
LM3,1/12/2009
LMC,21/09/2017
LMH,12/10/2018
LMI,20/07/2017
LNC,4/7/2019
LO5,21/12/2009
LPT,8/4/2021
LQN,1/11/2016
LTC,2/1/2008
LTG,24/07/2017
LWS,22/12/2017
LYF,19/05/2021
M10,10/1/2018
MA1,29/06/2020
MBN,3/10/2018
MC3,14/06/2017
MCH,5/1/2017
MCI,8/9/2015
MCM,18/12/2020
MCT,4/1/2017
MDA,10/1/2018
MDF,25/02/2011
MDN,16/11/2018
MDT,31/12/2019
MEC,2/1/2008
MEF,30/11/2011
MEG,9/9/2019
MES,12/12/2016
MFS,16/04/2019
MGC,9/6/2016
MGG,6/11/2017
MH3,6/3/2017
MHP,6/11/2020
MHY,10/6/2019
MIC,2/1/2008
MIE,15/12/2017
MJC,28/07/2010
MKP,2/6/2010
MKT,11/12/2015
MLC,23/05/2017
MLN,25/08/2017
MLS,28/12/2016
MMC,28/07/2008
MML,9/12/2019
MNB,24/04/2018
MND,11/8/2017
MPC,2/1/2008
MPT,15/01/2016
MPY,15/05/2017
MQB,8/11/2017
MQN,22/06/2018
MRF,12/12/2017
MSR,17/09/2015
MTA,21/10/2015
MTB,10/12/2020
MTC,17/08/2012
MTG,15/01/2009
MTH,4/4/2011
MTL,10/5/2016
MTM,15/04/2016
MTP,23/09/2010
MTS,28/04/2017
MTV,16/08/2017
MVC,22/03/2017
MVN,8/10/2018
MVY,25/01/2017
MXC,10/12/2020
NAC,21/03/2017
NAS,25/01/2017
NAU,29/06/2018
NAW,4/8/2017
NBE,21/08/2017
NBR,19/08/2016
NBS,19/11/2012
NBT,1/6/2016
NCP,25/09/2017
NCS,2/12/2015
ND2,22/07/2010
NDC,30/03/2010
NDF,12/9/2014
NDP,20/11/2015
NDT,11/9/2018
NDW,11/6/2019
NED,18/08/2017
NGC,6/3/2008
NHN,10/11/2011
NHP,2/7/2021
NHV,14/06/2017
NJC,23/12/2020
NLS,29/07/2016
NMK,5/3/2015
NNB,20/10/2016
NNG,31/03/2015
NNQ,20/02/2020
NNT,24/08/2012
NOS,12/1/2011
NPH,16/11/2015
NPS,2/1/2008
NQB,16/07/2015
NQN,15/06/2018
NQT,9/12/2016
NS2,30/11/2016
NS3,26/12/2016
NSG,19/05/2016
NSL,22/07/2019
NSP,20/01/2011
NSS,30/10/2018
NTB,17/05/2010
NTC,19/12/2016
NTF,4/7/2019
NTR,10/11/2016
NTT,27/12/2017
NTW,9/4/2012
NUE,20/02/2017
NVP,15/12/2016
NWT,30/03/2016
NXT,9/12/2021
ODE,10/1/2022
OIL,7/3/2018
ONW,17/02/2017
PAI,23/01/2017
PAP,14/07/2021
PAS,21/09/2020
PBC,26/11/2019
PBK,20/11/2017
PBT,18/01/2019
PCC,14/11/2017
PCF,29/03/2017
PCM,10/8/2017
PCN,18/12/2015
PDT,22/11/2018
PDV,20/04/2017
PEC,6/10/2010
PEG,5/11/2018
PEQ,18/01/2016
PFL,17/11/2010
PFV,30/07/2010
PHH,17/03/2010
PHS,9/6/2010
PID,22/11/2012
PIS,12/1/2016
PIV,18/08/2010
PJS,5/12/2011
PKR,6/1/2017
PLA,20/11/2017
PLE,7/1/2021
PLO,10/4/2020
PMJ,29/06/2016
PMT,22/07/2010
PMW,17/07/2019
PND,20/02/2017
PNG,5/4/2016
PNP,17/05/2019
PNT,12/1/2017
POB,29/09/2017
POS,25/11/2016
POV,23/09/2010
PPG,2/1/2008
PPH,23/08/2017
PPI,12/4/2010
PQN,4/10/2019
PRO,10/10/2014
PRT,7/5/2018
PSB,26/02/2010
PSG,15/03/2011
PSL,7/7/2010
PSN,29/06/2017
PSP,11/11/2009
PTE,12/8/2015
PTG,12/4/2010
PTH,25/03/2010
PTK,15/03/2016
PTM,16/01/2009
PTO,20/06/2017
PTP,11/12/2009
PTT,14/05/2010
PTV,5/11/2019
PTX,30/07/2018
PVA,12/12/2008
PVE,2/1/2008
PVH,19/05/2017
PVM,20/12/2016
PVO,12/1/2016
PVP,20/12/2016
PVR,21/06/2010
PVV,9/9/2010
PVX,19/08/2009
PVY,29/12/2017
PWA,11/6/2019
PWS,30/06/2017
PX1,8/12/2010
PXA,22/02/2011
PXC,9/2/2017
PXL,9/12/2010
PXM,21/06/2010
PXT,1/6/2010
PYU,15/05/2017
QBR,9/11/2016
QCC,6/10/2010
QHW,22/12/2016
QLD,5/1/2018
QLT,3/4/2017
QNC,6/10/2020
QNS,20/12/2016
QNT,9/1/2020
QNU,28/02/2017
QNW,26/12/2016
QPH,11/7/2014
QSP,23/09/2016
QTP,16/03/2017
RAT,15/08/2016
RBC,18/02/2016
RCC,2/12/2016
RCD,6/2/2015
REM,20/01/2011
RGC,19/06/2017
RHN,16/03/2017
RLC,15/12/2016
RTB,7/11/2016
RTH,1/3/2017
RTS,1/11/2016
S12,16/01/2008
S27,16/09/2010
S33,4/4/2011
S72,22/05/2018
S74,2/7/2009
S96,9/1/2008
SAC,8/11/2016
SAL,20/10/2017
SAP,2/1/2008
SAS,9/3/2015
SB1,26/12/2016
SBD,16/02/2017
SBH,7/6/2018
SBL,23/01/2017
SBM,21/09/2017
SBR,2/11/2020
SCA,3/7/2020
SCC,2/1/2008
SCH,23/12/2016
SCJ,2/1/2008
SCL,15/09/2010
SCO,17/09/2010
SCV,19/05/2021
SCY,25/10/2017
SD1,23/07/2010
SD3,2/1/2008
SD7,2/1/2008
SD8,25/12/2015
SDB,10/3/2010
SDD,23/01/2008
SDE,23/03/2010
SDF,30/12/2014
SDH,19/10/2009
SDI,16/06/2011
SDJ,2/1/2008
SDK,24/11/2010
SDP,15/04/2009
SDV,22/04/2011
SDX,24/09/2015
SDY,2/1/2008
SEA,23/12/2016
SEP,6/2/2017
SFT,11/11/2014
SGI,14/09/2021
SGO,16/12/2015
SGP,25/04/2016
SGS,27/12/2010
SHC,2/1/2008
SHG,10/4/2015
SHV,30/08/2010
SHX,11/10/2016
SID,9/1/2017
SIG,10/10/2019
SIP,6/6/2019
SIV,23/05/2017
SJC,2/7/2021
SJG,12/2/2018
SJM,10/1/2008
SKH,25/10/2017
SKN,10/10/2018
SKV,3/11/2017
SLC,7/1/2016
SNC,11/11/2014
SNZ,20/11/2017
SON,5/1/2018
SOV,10/7/2019
SP2,30/09/2016
SPA,28/12/2016
SPB,17/10/2016
SPD,26/04/2010
SPH,20/05/2014
SPP,25/09/2008
SPV,14/02/2017
SQC,17/12/2009
SRB,17/03/2008
SRT,25/11/2016
SSF,19/07/2010
SSG,5/1/2011
SSH,4/8/2021
SSN,15/10/2013
SSU,19/12/2016
STH,17/03/2020
STL,23/09/2008
STS,31/03/2010
STT,8/7/2011
STU,1/4/2011
STV,15/12/2011
STW,6/7/2018
SUM,5/1/2018
SVG,6/4/2016
SVH,28/12/2017
SVL,24/08/2017
SWC,29/04/2011
SZE,9/12/2016
SZG,27/12/2021
T12,6/11/2017
TA3,5/1/2018
TA6,28/11/2017
TAG,12/1/2010
TAN,10/6/2019
TAP,7/9/2016
TAW,29/07/2016
TB8,30/12/2016
TBD,15/10/2014
TBH,13/08/2021
TBN,21/09/2017
TBT,25/03/2010
TCI,5/9/2018
TCJ,24/11/2017
TCK,27/10/2017
TCW,26/06/2017
TDB,19/07/2017
TDF,12/5/2020
TDS,6/10/2011
TEC,24/04/2017
TEL,26/09/2017
TGP,25/06/2009
TH1,11/11/2009
THN,5/10/2017
THP,18/11/2019
THR,12/4/2017
THU,6/6/2017
THW,1/3/2016
TID,12/12/2018
TIE,11/12/2009
TIN,28/12/2021
TIS,24/03/2011
TKA,3/6/2020
TKG,12/4/2021
TL4,4/2/2015
TLI,25/01/2019
TLP,8/12/2017
TLT,2/1/2008
TMG,7/2/2017
TMW,20/07/2010
TNB,19/04/2010
TND,26/02/2016
TNM,28/10/2009
TNP,23/12/2016
TNS,6/1/2017
TNW,26/05/2017
TNY,15/06/2011
TOP,23/07/2015
TOS,8/9/2021
TOW,25/01/2019
TPS,30/11/2015
TQN,8/2/2017
TQW,14/06/2019
TR1,24/08/2020
TRS,18/09/2015
TRT,16/03/2017
TS3,19/01/2018
TS4,2/1/2008
TS5,19/01/2018
TSD,10/1/2018
TSG,18/04/2017
TSJ,1/8/2017
TTD,6/2/2017
TTG,26/04/2010
TTJ,20/06/2017
TTN,19/04/2017
TTP,2/1/2008
TTR,7/12/2009
TTS,17/05/2017
TTV,10/10/2016
TUG,21/02/2017
TV1,23/09/2010
TV6,21/05/2021
TVA,11/4/2017
TVG,20/07/2010
TVH,17/01/2019
TVM,15/12/2015
TVN,18/01/2016
TVP,17/08/2017
TVU,9/11/2016
TVW,11/12/2017
TW3,18/10/2016
UCT,15/11/2016
UDJ,28/12/2009
UDL,9/1/2020
UEM,11/5/2015
UMC,28/08/2017
UPC,21/04/2017
UPH,29/12/2016
USC,6/2/2017
USD,30/01/2019
V11,15/12/2008
V15,17/12/2009
VAT,7/1/2022
VAV,26/07/2017
VBG,24/03/2017
VBH,2/1/2008
VC5,16/01/2008
VCE,29/12/2016
VCP,16/12/2016
VCR,10/5/2010
VCT,16/07/2010
VCW,23/11/2016
VCX,1/4/2014
VDB,22/11/2018
VDM,26/04/2018
VDN,16/07/2010
VDT,2/3/2011
VE9,17/11/2020
VEA,2/7/2018
VEC,14/07/2017
VEE,9/1/2017
VEF,22/12/2015
VES,14/04/2010
VET,13/12/2017
VFC,2/1/2008
VFR,2/1/2008
VFS,1/7/2020
VGG,10/3/2016
VGI,25/09/2018
VGL,15/08/2016
VGR,12/4/2018
VGT,3/1/2017
VGV,17/07/2017
VHD,22/06/2017
VHF,6/7/2010
VHG,28/01/2008
VHH,28/07/2010
VHI,8/1/2020
VIA,29/09/2010
VIH,24/04/2017
VIM,24/01/2017
VIN,4/9/2014
VIR,2/7/2010
VIW,5/1/2018
VKD,1/9/2010
VKP,19/06/2008
VLB,22/09/2016
VLC,11/9/2015
VLF,21/12/2010
VLG,18/09/2015
VLP,18/07/2017
VLW,17/07/2017
VMA,28/08/2015
VMG,30/09/2009
VMI,2/7/2021
VNA,9/9/2008
VNB,15/07/2016
VNH,8/4/2010
VNI,9/9/2009
VNN,3/12/2012
VNP,18/08/2015
VNX,16/06/2010
VNY,3/8/2018
VOC,19/09/2016
VPA,27/01/2016
VPC,8/10/2009
VPK,2/1/2008
VPR,20/12/2016
VPW,13/11/2017
VQC,1/3/2010
VRG,10/11/2014
VSE,10/10/2018
VSF,23/04/2018
VSG,18/09/2008
VSN,21/10/2016
VSP,2/1/2008
VST,27/02/2009
VT1,16/04/2010
VT8,8/4/2015
VTA,2/1/2008
VTD,6/11/2019
VTE,5/6/2018
VTG,25/12/2015
VTI,17/12/2010
VTK,18/12/2018
VTM,29/12/2015
VTP,23/11/2018
VTQ,17/05/2021
VTR,27/09/2019
VTS,2/1/2008
VTX,10/1/2014
VUA,2/3/2022
VVN,18/10/2017
VW3,23/04/2020
VWS,6/1/2017
VXP,19/08/2019
VXT,20/05/2020
WSB,16/08/2010
WTC,2/8/2010
WTN,16/11/2017
X18,19/01/2017
X26,9/7/2018
X77,17/02/2017
XDH,22/10/2018
XHC,3/11/2016
XLV,22/05/2018
XMC,2/1/2008
XMD,25/12/2015
XMP,16/08/2021
XPH,25/11/2014
YBC,20/05/2008
YRC,9/9/2016
YTC,3/8/2017
